x,y
0.0068,0.9863
1.0672,-0.0291
0.2757,1.288
-0.6232,0.0084
-0.3694,-0.4344
-0.0329,-1.0046
0.0237,0.9369
-0.4655,1.0258
-1.0564,-0.7009
1.0159,0.6384
-1.0734,1.0062
-0.0124,0.0425
-2.0687,-0.3356
0.0269,0.36
-0.0322,-1.0576
0.0691,0.9879
0.4006,0.0434
-0.395,0.674
-0.4038,1.2784
-0.5919,-0.7398
0.2607,1.011
1.0768,0.9878
0.3821,1.0726
0.0533,1.3041
0.6817,0.9412
0.3509,-0.3353
-0.6083,0.5282
-0.0193,1.0027
0.9646,0.7258
0.3698,-0.0651
-1.0385,-0.6288
-0.0653,-0.7462
0.0586,-0.3457
-0.2756,0.9722
1.597,1.3272
0.3512,0.686
0.9514,1.9206
0.9712,2.0111
-1.4,0.9885
-0.7203,-0.6682
-0.9854,0.0158
-0.9941,-0.5534
-0.6323,-0.6104
-1.3666,-0.0505
-0.6642,1.3807
-1.0535,-0.2957
-0.3333,0.3853
-0.0763,-0.3914
0.3443,2.0553
0.9596,1.6987
-1.3289,0.9705
-0.7177,0.0767
0.6656,0.3697
-0.3132,-0.0752
-0.3039,-0.0089
-0.5906,-1.0392
-0.3043,0.4054
-0.0766,-0.0379
0.5205,0.3893
-0.2608,-0.0735
0.3598,0.6005
1.0748,0.3462
1.2898,-0.598
1.6948,-0.0307
-0.35,-0.3316
-0.0713,0.7372
0.6972,0.3274
0.3086,0.0352
1.3319,1.0406
-0.3156,-1.4359
0.4548,-1.3699
1.0643,0.6619
1.7156,0.4531
-0.3588,0.3079
0.6489,-0.3079
1.0112,1.2606
0.3714,0.3063
0.3105,-0.0121
-0.009,-0.6833
0.7373,0.6867
1.711,0.312
0.3578,-1.3874
2.0401,1.0443
1.9619,0.3657
0.6078,-0.9414
0.4106,-0.2877
1.2595,-0.6735
0.2817,-0.7353
0.332,0.3781
1.0148,0.3996
1.2909,0.7223
0.6213,0.6729
0.7216,0.392
0.9347,0.3448
-0.7178,-0.9395
0.3906,-1.0046
-0.2964,-2.0123
-0.9877,-0.7258
1.3104,0.7227
1.6289,0.6669
-0.3241,-0.3533
-0.0076,-0.0352
-0.2913,-0.0788
-0.0644,-0.2994
-1.0591,-1.0652
-0.0429,-1.0602
1.3533,1.3072
0.0634,-0.4108
0.3548,0.0186
0.0754,-0.0368
1.6597,1.0262
1.011,-0.0518
0.6766,0.9523
1.392,0.3841
-0.629,-0.9401
0.7132,-0.478
0.7368,1.0394
-0.0364,-0.9394
-0.9537,-0.7367
0.7461,-0.656
-0.0594,0.9898
2.0604,1.3232
0.6274,0.9302
1.314,0.9559
-0.942,-0.9379
0.4007,0.5906
-1.0232,0.5193
1.3417,-0.0473
-0.3542,-0.9564
-0.2953,-0.5237
0.0415,0.6604
-0.6019,0.3721
0.7082,1.035
1.3192,0.6036
-0.9429,-0.3919
0.5998,1.079
-0.2755,0.9831
1.3599,1.381
0.0185,-0.3343
1.3143,0.9341
-0.3495,-0.3236
0.6096,0.0646
-0.0319,-0.587
0.6308,0.6786
1.3558,1.3223
-0.454,-0.4528
1.2634,0.2743
0.9689,-0.6583
-0.036,0.2569
0.2744,0.5736
1.0252,-0.0644
-0.3473,1.2859
0.9984,1.3993
1.5374,0.6596
1.638,0.9232
1.3922,0.0023
1.0189,1.6356
1.3994,1.3086
0.9892,0.7306
0.6097,-0.3038
0.5894,1.0124
0.3629,0.4123
1.4113,0.5395
0.05,0.0328
1.3492,0.6378
-0.0401,-1.0233
1.0658,0.3755
1.6835,0.9483
0.9709,0.9544
0.5937,1.3735
1.617,0.9742
-0.696,0.0242
0.0493,0.957
-0.6137,-0.5101
1.0094,0.3637
0.6284,1.0116
-0.3083,-0.3503
-0.017,-0.3192
-0.6943,-0.3218
1.0324,0.5939
-0.3007,0.0266
1.2605,2.0754
1.9714,2.0191
0.0618,0.9842
1.666,1.3338
0.7286,1.2769
-1.0186,-0.3135
0.0463,-0.6927
-1.5254,-0.4037
1.7382,1.9832
1.0234,1.0348
-0.266,0.034
0.285,0.9994
0.3651,0.3048
-0.0621,0.3486
0.7033,1.0244
1.6887,0.2765
0.9932,-0.7283
2.0783,0.3061
0.5011,0.9335
-0.2759,-0.3005
0.2626,0.5948
-0.3061,0.3698
0.2688,0.0368
0.7385,-0.3853
0.4047,1.7459
-0.4778,0.6519
0.6084,1.0679
-0.6218,0.2607
1.0353,1.2816
1.3066,1.3702
0.3811,-0.3512
0.0431,-0.6944
0.3703,-0.2682
0.0369,0.7246
0.7106,0.0479
-0.0097,0.3314
-0.3688,0.5881
1.6455,0.9375
0.7432,1.2795
1.3391,1.034
-0.6974,1.3809
1.0793,-0.0041
1.3747,0.6737
0.2792,0.6
0.0353,0.5221
0.3934,0.0078
-1.2886,-1.0376
0.3775,-0.2899
1.4045,0.715
1.0412,0.6197
-0.382,-1.034
1.005,0.3179
-0.0623,1.0635
1.5053,1.3395
-0.9979,-1.4085
-1.0656,-0.3761
-0.2793,0.9391
1.2571,1.356
0.6344,1.6856
