respondent_id,team,site,contract,seniority,role_level,remote_days,age_band,schedule,department,manager,workload_band,training,mobility,sector,service_size,PGC1,PGC2,PGC3,MOY_PGC,EVPVP1,EVPVP2,EVPVP3,MOY_EVPVP,RECO1,RECO2,RECO3,MOY_RECO,COM1,COM2,COM3,MOY_COM,JUST1,JUST2,JUST3,MOY_JUST,ENG1,ENG2,ENG3,MOY_ENG,CONF1,CONF2,CONF3,MOY_CONF,EQUI1,EQUI2,EQUI3,MOY_EQUI
R001,Team 1,Demo site,CDD,1,Employee,0,20-29,Day,Operations,Yes,Low,Yes,No,Demo,5,3,2,2,2.33,2,3,3,2.67,4,2,3,3.00,2,3,3,2.67,2,3,4,3.00,3,3,4,3.33,4,2,4,3.33,4,3,3,3.33
R002,Team 2,Demo site,CDI,2,Specialist,1,30-39,Flexible,IT,No,Medium,Yes,No,Demo,6,4,2,2,2.67,2,4,3,3.00,4,4,3,3.67,4,3,3,3.33,4,4,4,4.00,4,4,2,3.33,3,3,2,2.67,3,2,3,2.67
R003,Team 3,Demo site,CDI,3,Manager,2,40-49,Day,Support,No,High,Yes,No,Demo,7,3,3,3,3.00,2,3,4,3.00,4,4,2,3.33,4,3,3,3.33,5,4,4,4.33,4,4,4,4.00,3,2,3,2.67,3,3,4,3.33
R004,Team 4,Demo site,CDD,4,Employee,0,50+,Flexible,Sales,No,Low,Yes,No,Demo,8,4,3,4,3.67,3,4,3,3.33,3,3,4,3.33,3,4,4,3.67,3,3,5,3.67,3,2,2,2.33,2,4,4,3.33,3,2,3,2.67
R005,Team 1,Demo site,CDI,5,Specialist,1,20-29,Day,Operations,No,Medium,Yes,No,Demo,9,4,3,4,3.67,4,2,4,3.33,4,3,3,3.33,4,2,3,3.00,3,4,4,3.67,3,3,2,2.67,4,4,3,3.67,3,3,2,2.67
R006,Team 2,Demo site,CDI,6,Manager,2,30-39,Flexible,IT,Yes,High,Yes,No,Demo,10,4,3,4,3.67,3,2,3,2.67,2,4,4,3.33,4,3,2,3.00,4,4,2,3.33,3,2,4,3.00,4,2,3,3.00,3,2,4,3.00
R007,Team 3,Demo site,CDD,7,Employee,0,40-49,Day,Support,No,Low,Yes,No,Demo,11,3,3,3,3.00,4,3,3,3.33,5,4,3,4.00,3,2,3,2.67,3,3,2,2.67,2,2,3,2.33,2,4,4,3.33,2,2,3,2.33
R008,Team 4,Demo site,CDI,8,Specialist,1,50+,Flexible,Sales,No,Medium,Yes,No,Demo,12,3,3,4,3.33,4,3,4,3.67,4,3,2,3.00,3,3,3,3.00,4,3,4,3.67,2,3,2,2.33,3,2,2,2.33,2,2,2,2.00
R009,Team 1,Demo site,CDI,1,Manager,2,20-29,Day,Operations,No,High,Yes,No,Demo,13,3,4,3,3.33,4,3,2,3.00,4,4,4,4.00,4,4,2,3.33,3,2,3,2.67,2,2,4,2.67,2,3,2,2.33,2,3,3,2.67
R010,Team 2,Demo site,CDD,2,Employee,0,30-39,Flexible,IT,No,Low,Yes,No,Demo,14,3,4,2,3.00,3,4,3,3.33,3,4,2,3.00,3,3,4,3.33,2,4,2,2.67,2,3,3,2.67,2,1,3,2.00,2,2,2,2.00
R011,Team 3,Demo site,CDI,3,Specialist,1,40-49,Day,Support,Yes,Medium,Yes,No,Demo,15,3,3,3,3.00,4,2,3,3.00,2,3,3,2.67,2,2,3,2.33,1,2,4,2.33,3,1,2,2.00,2,3,3,2.67,3,2,1,2.00
R012,Team 4,Demo site,CDI,4,Manager,2,50+,Flexible,Sales,No,High,Yes,No,Demo,16,4,3,3,3.33,4,3,2,3.00,3,2,3,2.67,4,2,2,2.67,1,2,2,1.67,2,3,1,2.00,2,2,2,2.00,3,3,1,2.33
R013,Team 1,Demo site,CDD,5,Employee,0,20-29,Day,Operations,No,Low,Yes,No,Demo,17,3,2,2,2.33,3,3,2,2.67,3,3,2,2.67,1,1,3,1.67,3,2,3,2.67,2,1,1,1.33,2,3,3,2.67,3,3,1,2.33
R014,Team 2,Demo site,CDI,6,Specialist,1,30-39,Flexible,IT,No,Medium,Yes,No,Demo,18,2,2,3,2.33,3,2,3,2.67,1,3,3,2.33,3,3,3,3.00,1,3,2,2.00,3,3,3,3.00,3,1,3,2.33,1,3,3,2.33
R015,Team 3,Demo site,CDI,7,Manager,2,40-49,Day,Support,No,High,Yes,No,Demo,19,2,3,2,2.33,2,3,2,2.33,1,1,2,1.33,3,3,2,2.67,2,2,3,2.33,2,3,1,2.00,3,1,3,2.33,2,1,2,1.67
R016,Team 4,Demo site,CDD,8,Employee,0,50+,Flexible,Sales,Yes,Low,Yes,No,Demo,5,3,2,3,2.67,2,2,2,2.00,1,3,1,1.67,3,2,3,2.67,3,2,2,2.33,1,2,2,1.67,2,3,3,2.67,2,2,2,2.00
R017,Team 1,Demo site,CDI,1,Specialist,1,20-29,Day,Operations,No,Medium,Yes,No,Demo,6,2,2,1,1.67,2,3,2,2.33,3,2,2,2.33,2,1,1,1.33,2,2,2,2.00,2,2,1,1.67,2,3,3,2.67,2,1,2,1.67
R018,Team 2,Demo site,CDI,2,Manager,2,30-39,Flexible,IT,No,High,Yes,No,Demo,7,2,2,3,2.33,3,2,1,2.00,1,1,1,1.00,2,3,1,2.00,2,2,1,1.67,3,2,2,2.33,3,1,3,2.33,3,2,2,2.33
R019,Team 3,Demo site,CDD,3,Employee,0,40-49,Day,Support,No,Low,Yes,No,Demo,8,1,3,2,2.00,1,1,3,1.67,2,3,2,2.33,3,2,3,2.67,3,2,3,2.67,2,3,2,2.33,3,3,2,2.67,2,2,3,2.33
R020,Team 4,Demo site,CDI,4,Specialist,1,50+,Flexible,Sales,No,Medium,Yes,No,Demo,9,3,2,2,2.33,1,1,2,1.33,2,2,2,2.00,1,2,3,2.00,3,1,2,2.00,3,2,2,2.33,2,4,3,3.00,3,4,3,3.33
R021,Team 1,Demo site,CDI,5,Manager,2,20-29,Day,Operations,Yes,High,Yes,No,Demo,10,2,1,2,1.67,3,3,3,3.00,2,3,2,2.33,3,2,2,2.33,2,1,2,1.67,3,2,2,2.33,3,2,3,2.67,2,3,3,2.67
R022,Team 2,Demo site,CDD,6,Employee,0,30-39,Flexible,IT,No,Low,Yes,No,Demo,11,1,2,1,1.33,2,1,2,1.67,2,2,3,2.33,2,3,3,2.67,2,2,2,2.00,3,4,2,3.00,3,4,3,3.33,4,4,2,3.33
R023,Team 3,Demo site,CDI,7,Specialist,1,40-49,Day,Support,No,Medium,Yes,No,Demo,12,1,1,1,1.00,3,2,2,2.33,3,3,2,2.67,3,3,2,2.67,4,4,2,3.33,2,3,3,2.67,4,3,4,3.67,2,4,4,3.33
R024,Team 4,Demo site,CDI,8,Manager,2,50+,Flexible,Sales,No,High,Yes,No,Demo,13,1,3,3,2.33,3,2,4,3.00,3,2,3,2.67,3,3,2,2.67,4,4,2,3.33,4,3,4,3.67,4,3,4,3.67,4,3,4,3.67
R025,Team 1,Demo site,CDD,1,Employee,0,20-29,Day,Operations,No,Low,Yes,No,Demo,14,3,2,2,2.33,3,2,4,3.00,4,2,4,3.33,2,3,3,2.67,3,2,4,3.00,3,3,4,3.33,3,4,4,3.67,3,2,4,3.00
